48,2012-01-29 16:10:47.748667+00,2012-01-29 16:10:47.748682+00,159,Tingley,parent,1548,"",1994-01-01,,8,8
49,2012-01-29 16:11:36.040842+00,2012-01-29 16:11:36.040853+00,5851,"",parent,1548,"",1994-01-01,,8,8
50,2012-01-29 16:12:27.341472+00,2012-01-29 16:12:27.341514+00,764,"",subsumed,1548,Tingley Youth Band,2002-01-01,,8,8
51,2012-01-29 16:13:03.043163+00,2012-01-29 16:13:03.043174+00,441,Dynamix Band,subsumed,159,"",2009-01-01,,8,8
52,2012-01-31 18:19:29.760188+00,2012-01-31 18:19:29.760198+00,2636,"",subsumed,1356,"",1992-01-01,,8,8
53,2012-02-01 18:17:44.881478+00,2012-02-01 18:17:44.881489+00,5162,"",reformed,2387,Royal Leamington Spa Silver Band,1953-04-06,,8,8
54,2012-02-01 18:20:52.05097+00,2012-02-01 18:20:52.05098+00,6560,"",subsumed,2387,Royal Leamington Spa Silver Band,1955-04-06,,8,8
55,2012-02-01 18:21:15.477033+00,2012-02-01 18:21:15.477045+00,6561,"",subsumed,2387,Royal Leamington Spa Silver Band,1955-04-06,,8,8
56,2012-02-01 21:21:29.289052+00,2012-02-01 21:21:29.289064+00,4288,"",subsumed,519,"",1989-01-01,,8,8
57,2012-02-10 21:48:08.712419+00,2012-02-10 21:48:08.712431+00,2709,"",reformed,220,"",,,8,8
58,2012-02-12 13:40:14.590034+00,2012-02-12 13:40:14.590045+00,4630,"",subsumed,765,"",,,8,8
59,2012-02-18 19:02:23.538113+00,2012-02-18 19:02:23.538134+00,662,"",parent,1981,"",,,8,8
60,2012-02-18 19:02:39.28657+00,2012-02-18 19:02:39.28658+00,433,"",parent,1981,"",,,8,8
61,2012-02-18 22:17:19.498946+00,2012-02-18 22:17:19.498962+00,1802,"",parent,643,UDI Aberdeen City,1997-01-01,,8,8
62,2012-02-18 22:17:47.448169+00,2012-02-18 22:17:47.448181+00,5618,"",parent,643,UDI Aberdeen City,1997-01-01,,8,8
63,2012-03-04 13:00:24.569074+00,2012-03-04 13:00:24.569085+00,3351,"",subsumed,410,"",1956-01-01,,8,8
64,2012-04-14 11:23:05.330382+00,2012-04-14 11:23:05.330394+00,6090,"",reformed,486,"",1906-01-01,,8,8
65,2012-05-08 19:53:38.902506+00,2012-05-08 19:53:38.902523+00,8341,"",reformed,24,City of Gloucester Band,,,8,8
66,2017-01-25 22:12:47.546163+00,2017-01-25 22:12:47.54618+00,9408,"",senior,12523,"",,,1,1
