298712,2016-07-16 13:53:55.889929+00,2013-03-05 15:25:51.051391+00,F.,Bucroft,"",f-bucroft,,,,f,,,,12801,,F. Bucroft,"",507,507,f-bucroft-adj,f-bucroft-cmp,f-bucroft
298713,2016-07-16 13:53:55.916901+00,2016-05-26 08:46:00.52477+00,Gareth,Budd,"",gareth-budd,,,,f,,,,17779,,Gareth Budd,"",1754,1754,gareth-budd-adj,gareth-budd-cmp,gareth-budd
298714,2016-07-16 13:53:55.949773+00,2011-12-11 19:40:26.185299+00,Pierre-Marie,Budelot,"",pierre-marie-budelot,,,,f,,,,8271,,Pierre-Marie Budelot,"",1,1,pierre-marie-budelot-adj,pierre-marie-budelot-cmp,pierre-marie-budelot
298715,2016-07-16 13:53:55.959416+00,2009-04-14 18:52:54.984767+00,Roland van,Buggenhout,"",roland-van-buggenhout,,,,f,,,,786,,Roland van Buggenhout,"",8,1,roland-van-buggenhout-adj,roland-van-buggenhout-cmp,roland-van-buggenhout
298716,2016-07-16 13:53:55.965841+00,2016-06-27 02:06:58.518209+00,J. W.,Buick,"",j-w-buick,,,,f,,,,17920,,J. W. Buick,"",2962,2962,j-w-buick-adj,j-w-buick-cmp,j-w-buick
298717,2016-07-16 13:53:55.972339+00,2012-12-09 12:47:05.098641+00,Wiebe,Buis,"",wiebe-buis,,,,f,,,,12070,,Wiebe Buis,"",113,113,wiebe-buis-adj,wiebe-buis-cmp,wiebe-buis
298719,2016-07-16 13:53:55.989501+00,2014-05-28 18:41:01.367855+00,Saulius,Buitvydas,"",saulius-buitvydas,,,,f,,,,15312,,Saulius Buitvydas,"",1363,1363,saulius-buitvydas-adj,saulius-buitvydas-cmp,saulius-buitvydas
298721,2016-07-16 13:53:56.050226+00,2014-03-25 16:42:11.001274+00,J.L.,Bulcock,"",j-l-bulcock,,"",,f,,,,15001,,J.L. Bulcock,"",11,11,j-l-bulcock-adj,j-l-bulcock-cmp,j-l-bulcock
311096,2016-07-16 13:58:25.40101+00,2013-10-03 10:45:37.255637+00,D.,Waters,"",d-waters,,,,f,,,,14312,,D. Waters,"",1074,1074,d-waters-adj,d-waters-cmp,d-waters
311097,2016-07-16 13:58:25.431393+00,2014-02-17 11:06:44.847253+00,Gregory,Waters,"",gregory-waters,,"",,f,,,,14878,,Gregory Waters,"",507,507,gregory-waters-adj,gregory-waters-cmp,gregory-waters
311098,2016-07-16 13:58:25.473302+00,2013-10-02 17:42:38.588284+00,J.,Waters,"",j-waters,,,,f,,,,14283,,J. Waters,"",11,11,j-waters-adj,j-waters-cmp,j-waters
311099,2016-07-16 13:58:25.497711+00,2015-09-09 10:24:11.752832+00,L.,Waters,"",l-waters,,,,f,,,,16413,,L. Waters,"",1074,1074,l-waters-adj,l-waters-cmp,l-waters
311100,2016-07-16 13:58:25.508756+00,2010-05-04 19:28:33.19739+00,Mervyn,Waters,"",m-waters,,"",,f,,,,2579,,Mervyn Waters,"",507,1,m-waters-adj,m-waters-cmp,m-waters
311101,2016-07-16 13:58:25.52493+00,2015-02-13 16:35:42.473566+00,Adam,Waterson,"",adam-waterson,,"",,f,,,,15919,,Adam Waterson,"",507,507,adam-waterson-adj,adam-waterson-cmp,adam-waterson
298695,2016-07-16 16:01:30.804745+00,2009-05-03 20:23:52.841569+00,C. Brian,Buckley,"",c-brian-buckley,"","","",f,1968-01-01,,33,908,,C. Brian Buckley,PersonProfileAbba,507,1,c-brian-buckley,c-brian-buckley-cmp,c-brian-buckley
298700,2016-07-16 16:01:30.843681+00,2016-05-12 23:51:28.124071+00,H.,Buckley,"",h-buckley,,,,f,,,1681,17687,,H. Buckley,"",2962,2962,h-buckley,h-buckley-cmp,h-buckley
298709,2016-07-16 16:01:30.902211+00,2010-12-07 10:17:02.978005+00,W. F.,Buckley,"",w-f-buckley,"","","",f,,,2781,3608,,W. F. Buckley,"",8,141,w-f-buckley,w-f-buckley-cmp,w-f-buckley
298722,2016-07-16 13:53:56.157262+00,2016-06-27 23:11:53.525441+00,J.,Bulk,"",j-bulk,,,,f,,,,17925,,J. Bulk,"",2962,2962,j-bulk-adj,j-bulk-cmp,j-bulk
298723,2016-07-16 13:53:56.180308+00,2012-12-22 15:50:17.830915+00,C.,Bull,"",c-bull,,,,f,,,,12162,,C. Bull,"",1074,1074,c-bull-adj,c-bull-cmp,c-bull
298724,2020-02-13 13:58:00.776488+00,2011-02-19 00:43:28.709711+00,Edwin,Bull,"",e-bull,,,"",t,,,,4097,,Edwin Bull,"",1074,585,e-bull-adj,e-bull-cmp,e-bull
298697,2020-02-13 16:24:23.409531+00,2012-03-10 19:32:57.378586+00,W.,Buckley,"",d-buckley,,Bridgwater House,"",t,,,,9411,,W. Buckley,"",1074,1,d-buckley-adj,d-buckley-cmp,d-buckley
298688,2020-04-15 09:37:12.735604+00,2011-03-30 15:44:18.215786+00,J.,Nuttall,"",w-buckby,,Irwell Springs,"",t,,,,5085,,J. Nuttall,"",1074,657,w-buckby-adj,w-buckby-cmp,w-buckby
298711,2020-04-16 22:01:02.936675+00,2011-05-15 19:47:15.650151+00,W. G.,Lyons,"",a-bucknell,,,"",f,,,,6297,,W. G. Lyons,"",1074,114,a-bucknell-adj,a-bucknell-cmp,a-bucknell
298718,2020-06-30 16:06:08.984927+00,2015-10-16 13:44:48.571644+00,Nigel,Buist,"",n-buist,,,"",f,,,,16486,,Nigel Buist,"",1074,1074,n-buist-adj,n-buist-cmp,n-buist
298725,2016-07-16 13:53:56.197+00,2012-01-28 18:36:17.290192+00,J.,Bull,"",j-bull,,,,f,,,,8771,,J. Bull,"",11,11,j-bull-adj,j-bull-cmp,j-bull
298726,2016-07-16 13:53:56.203326+00,2012-01-08 19:44:26.354+00,Raymond,Bull,"",raymond-bull,,,,f,,,,8620,,Raymond Bull,"",1,1,raymond-bull-adj,raymond-bull-cmp,raymond-bull
298728,2016-07-16 13:53:56.217579+00,2012-05-13 20:20:01.661126+00,Cyril,Bulled,"",cyril-bulled,,,,f,,,,10335,,Cyril Bulled,"",455,455,cyril-bulled-adj,cyril-bulled-cmp,cyril-bulled
298729,2016-07-16 13:53:56.224284+00,2015-07-06 11:43:51.059662+00,H.,Bullinger,"",h-bullinger,,,,f,,,,16275,,H. Bullinger,"",1074,1074,h-bullinger-adj,h-bullinger-cmp,h-bullinger
298730,2016-07-16 13:53:56.231159+00,2011-10-11 12:33:11.893099+00,Derek,Bullman,"",d-bullman,,"",,f,,,,7647,,Derek Bullman,"",507,956,d-bullman-adj,d-bullman-cmp,d-bullman
298731,2016-07-16 13:53:56.255656+00,2011-12-06 23:16:19.478755+00,A.,Bullock,"",a-bullock,,,,f,,,,8097,,A. Bullock,"",11,11,a-bullock-adj,a-bullock-cmp,a-bullock
298734,2016-07-16 13:53:56.295839+00,2013-02-26 09:23:09.074403+00,T. W.,Bulpin,"",t-w-bulpin,,,,f,,,,12692,,T. W. Bulpin,"",1074,1074,t-w-bulpin-adj,t-w-bulpin-cmp,t-w-bulpin
298735,2016-07-16 13:53:56.302376+00,2014-02-26 16:24:45.752779+00,W.,Bunn,"",w-bunn,,,,f,,,,14925,,W. Bunn,"",1074,1074,w-bunn-adj,w-bunn-cmp,w-bunn
298736,2016-07-16 13:53:56.309245+00,2011-04-16 19:49:31.328878+00,Faril,Bunner,"",faril-bunner,,,,f,,,,5239,,Faril Bunner,"",657,657,faril-bunner-adj,faril-bunner-cmp,faril-bunner
298738,2016-07-16 13:53:56.326561+00,2012-04-09 18:32:13.491001+00,C. J.,Bunt,"",c-j-bunt,,,,f,,,,9780,,C. J. Bunt,"",349,349,c-j-bunt-adj,c-j-bunt-cmp,c-j-bunt
298739,2016-07-16 13:53:56.333274+00,2013-10-05 14:48:07.32952+00,D.,Bunt,"",d-bunt,,,,f,,,,14338,,D. Bunt,"",447,447,d-bunt-adj,d-bunt-cmp,d-bunt
298740,2016-07-16 13:53:56.339738+00,2013-07-22 13:01:49.254007+00,G.,Bunt,"",g-bunt,,,,f,,,,13874,,G. Bunt,"",507,507,g-bunt-adj,g-bunt-cmp,g-bunt
298741,2016-07-16 13:53:56.348395+00,2012-04-09 19:01:13.053373+00,J.,Bunt,"",j-bunt,,,,f,,,,9784,,J. Bunt,"",349,349,j-bunt-adj,j-bunt-cmp,j-bunt
298742,2016-07-16 13:53:56.355495+00,2011-03-18 12:39:11.753778+00,Brian,Bunting,"",b-bunting,"","","",f,,,,4938,,Brian Bunting,"",8,657,b-bunting-adj,b-bunting-cmp,b-bunting
298744,2016-07-16 13:53:56.369564+00,2011-06-14 15:44:32.816283+00,Alfie,Burch,"",a-g-burch,,"",,f,,,,6836,,Alfie Burch,"",507,114,a-g-burch-adj,a-g-burch-cmp,a-g-burch
298745,2016-07-16 13:53:56.376383+00,2009-10-02 16:43:03.10426+00,Jack,Burch,"",jack-burch,"",,"",f,,,,1833,,Jack Burch,"",8,44,jack-burch-adj,jack-burch-cmp,jack-burch
298746,2016-07-16 13:53:56.383079+00,2010-01-03 18:23:27.339114+00,James,Burch,"",james-burch,,,,f,,,,2151,,James Burch,"",49,49,james-burch-adj,james-burch-cmp,james-burch
298747,2016-07-16 13:53:56.39253+00,2010-01-03 20:52:47.890143+00,John,Burch,"",john-burch,,,,f,,,,2158,,John Burch,"",49,49,john-burch-adj,john-burch-cmp,john-burch
298748,2016-07-16 13:53:56.399104+00,2011-04-26 21:10:17.596143+00,K.,Burch,"",k-burch,,,,f,,,,5464,,K. Burch,"",1,1,k-burch-adj,k-burch-cmp,k-burch
298749,2016-07-16 13:53:56.409594+00,2012-02-12 19:44:07.808881+00,D. G.,Burdett,"",d-g-burdett,,,,f,,,,9010,,D. G. Burdett,"",1074,1074,d-g-burdett-adj,d-g-burdett-cmp,d-g-burdett
298750,2016-07-16 13:53:56.416392+00,2015-08-29 15:57:42.964502+00,E.,Burditt,"",e-burditt,,,,f,,,,16376,,E. Burditt,"",11,11,e-burditt-adj,e-burditt-cmp,e-burditt
298751,2016-07-16 13:53:56.422913+00,2010-11-23 13:18:48.04981+00,Thomas,Burge,"",thomas-burge,,,,f,,,,3419,,Thomas Burge,"",435,435,thomas-burge-adj,thomas-burge-cmp,thomas-burge
298754,2016-07-16 13:53:56.441602+00,2013-06-24 10:30:13.186935+00,Florian,Burgener,"",florian-burgener,,"",,f,,,,13705,,Florian Burgener,"",507,507,florian-burgener-adj,florian-burgener-cmp,florian-burgener
298755,2016-07-16 13:53:56.448008+00,2011-04-26 21:21:51.72978+00,J.,Burgess,"",j-burgess,,,,f,,,,5489,,J. Burgess,"",1,1,j-burgess-adj,j-burgess-cmp,j-burgess
298756,2016-07-16 13:53:56.454811+00,2012-06-24 09:24:22.470521+00,L.,Burgess,"",l-burgess,,,,f,,,,10761,,L. Burgess,"",1299,1299,l-burgess-adj,l-burgess-cmp,l-burgess
298757,2016-07-16 13:53:56.461211+00,2015-01-05 17:36:26.624636+00,R.,Burgess,"",r-burgess,,,,f,,,,15851,,R. Burgess,"",11,11,r-burgess-adj,r-burgess-cmp,r-burgess
298758,2016-07-16 13:53:56.469179+00,2012-07-24 13:48:24.25165+00,W. C.,Burgess,"",w-burgess,,"",,f,,,,11025,,W. C. Burgess,"",507,507,w-burgess-adj,w-burgess-cmp,w-burgess
298759,2016-07-16 13:53:56.475656+00,2012-01-28 18:29:19.870274+00,W. D.,Burgess,"",w-d-burgess,,,,f,,,,8768,,W. D. Burgess,"",11,11,w-d-burgess-adj,w-d-burgess-cmp,w-d-burgess
298762,2016-07-16 13:53:56.496983+00,2013-07-15 15:16:56.256016+00,Beat,Buri,"",beat-buri,,,,f,,,,13828,,Beat Buri,"",1363,1363,beat-buri-adj,beat-buri-cmp,beat-buri
298763,2016-07-16 13:53:56.503687+00,2016-03-19 21:52:54.099015+00,Albert,Burkard,"",albert-burkard,,,,f,,,,17220,,Albert Burkard,"",1363,1363,albert-burkard-adj,albert-burkard-cmp,albert-burkard
298764,2016-07-16 13:53:56.511281+00,2011-05-09 09:38:14.960768+00,Ivor,Burke,"",i-e-burke,"","","",f,,,,5962,,Ivor Burke,"",8,114,i-e-burke-adj,i-e-burke-cmp,i-e-burke
298766,2016-07-16 13:53:56.539362+00,2015-03-10 17:36:26.857389+00,N.,Burke,"",n-burke,,,,f,,,,16024,,N. Burke,"",1074,1074,n-burke-adj,n-burke-cmp,n-burke
298767,2016-07-16 13:53:56.547895+00,2009-03-11 22:14:39.700403+00,Roger,Burke,"",roger-burke,,,,f,,,,380,,Roger Burke,"",1,1,roger-burke-adj,roger-burke-cmp,roger-burke
298770,2016-07-16 13:53:56.567751+00,2012-11-18 15:25:24.710393+00,W.,Burkhalter,"",w-burkhalter,,,,f,,,,11862,,W. Burkhalter,"",1074,1074,w-burkhalter-adj,w-burkhalter-cmp,w-burkhalter
298772,2016-07-16 13:53:56.581045+00,2014-04-08 21:10:00.119491+00,James,Burleigh,"",james-burleigh,,,,f,,,,15064,,James Burleigh,"",11,11,james-burleigh-adj,james-burleigh-cmp,james-burleigh
298761,2016-07-16 16:01:31.201164+00,2009-09-03 21:07:11.61485+00,Andreas,Buri,"",andreas-buri,,,,f,,,2890,1617,,Andreas Buri,"",1,1,andreas-buri,andreas-buri-cmp,andreas-buri
298769,2016-07-16 16:01:31.287668+00,2009-02-27 17:23:08.378031+00,Hans,Burkhalter,"",hans-burkhalter,,,,f,,,3415,102,,Hans Burkhalter,"",1,1,hans-burkhalter,hans-burkhalter-cmp,hans-burkhalter
309848,2020-10-27 13:20:58.323666+00,2011-07-05 16:40:33.074009+00,Charles,Stott,"",c-stott,,Cleckheaton Victoria,"Born at Cleckheaton, West Yorkshire in 1871.",t,,,3299,6978,,Charles Stott,"",1074,507,charles-stott,c-stott-cmp,c-stott
298733,2016-10-01 20:47:36.269505+00,2010-05-15 08:56:10.426686+00,Percy,Bullough,"",p-bullough,"","","",f,,,,2664,,Percy Bullough,"",1,141,p-bullough-adj,p-bullough-cmp,p-bullough
298773,2016-07-16 13:53:56.588444+00,2013-09-09 16:30:14.273173+00,D.,Burley,"",d-burley,,,,f,,,,14118,,D. Burley,"",1074,1074,d-burley-adj,d-burley-cmp,d-burley
298774,2016-07-16 13:53:56.595277+00,2010-02-07 12:44:20.865419+00,Jason,Burn,"",jason-burn,,,,f,,,,2215,,Jason Burn,"",129,129,jason-burn-adj,jason-burn-cmp,jason-burn
