56,2016-07-16 16:16:04.672089+00,2014-01-02 11:35:37.971234+00,A. G. Irons,t,1,1,303818
57,2016-07-16 16:16:04.694265+00,2014-07-07 18:37:13.817168+00,A. G. Knight,t,1,1,304619
58,2016-07-16 16:16:04.711464+00,2013-04-19 22:20:05.573696+00,A. G. Lloyd,f,507,507,305176
60,2016-07-16 16:16:04.746562+00,2012-04-18 15:38:09.250898+00,A. G. Stephenson,f,507,507,309738
61,2016-07-16 16:16:04.762693+00,2012-04-18 15:39:04.777744+00,A. G. Stevenson,t,1,1,309738
62,2016-07-16 16:16:04.78102+00,2011-12-06 16:49:10.551511+00,A. G. T. Clucas,t,507,507,299466
63,2016-07-16 16:16:04.799642+00,2011-06-14 16:28:25.852497+00,A. G. Ward,t,1,1,311011
64,2016-07-16 16:16:04.823916+00,2013-03-23 11:24:42.463405+00,A. Golding,t,1,1,301926
65,2016-07-16 16:16:04.839612+00,2012-03-20 17:27:11.414827+00,A. Greg Mills,t,1,1,306159
66,2016-07-16 16:16:04.860407+00,2010-05-02 23:16:50.301619+00,A. Griffiths,t,1,1,302236
67,2016-07-16 16:16:04.878906+00,2012-08-30 10:11:14.944153+00,A. H. Baile,f,507,507,297320
68,2016-07-16 16:16:04.901458+00,2012-08-30 10:03:56.048616+00,A. H. Bailie,f,507,507,297320
69,2016-07-16 16:16:04.928941+00,2015-02-26 11:28:56.379993+00,A. H. Dawes,f,507,507,300238
71,2016-07-16 16:16:04.975144+00,2013-03-25 13:32:47.105319+00,A. H. Jarvis,f,507,1,303951
72,2016-07-16 16:16:05.005734+00,2011-01-14 18:40:25.953859+00,A. H. Keachie,f,507,1,304363
73,2016-07-16 16:16:05.027113+00,2011-08-20 15:45:02.607032+00,A. H. Kenney,t,1,1,304459
74,2016-07-16 16:16:05.046279+00,2014-12-10 09:18:20.870553+00,A. H. Morris,f,507,1,306379
75,2016-07-16 16:16:05.064683+00,2015-12-11 21:40:06.858591+00,A. H. Muddiman,f,507,507,306492
76,2016-07-16 16:16:05.081643+00,2011-06-12 15:58:38.236727+00,A. H. Smith,f,507,1,309310
77,2016-07-16 16:16:05.115289+00,2011-04-26 20:49:33.754072+00,A. H. Whitehead,f,507,1,311432
78,2016-07-16 16:16:05.142008+00,2016-01-13 17:30:23.12845+00,A. Haigh,f,507,507,302375
79,2016-07-16 16:16:05.15678+00,2013-04-17 21:57:06.202081+00,A. Holness,t,507,507,303360
80,2016-07-16 16:16:05.173998+00,2013-03-10 23:21:58.686485+00,A. J. Ashpole,t,507,507,297156
81,2016-07-16 16:16:05.183126+00,2011-02-28 20:20:44.408194+00,A. J. Briggs,t,1,1,298438
82,2016-07-16 16:16:05.209385+00,2013-05-24 17:14:51.133405+00,A. J. Copcutt,f,507,507,299705
83,2016-07-16 16:16:05.232968+00,2014-02-26 16:47:10.687635+00,A. J. Fowler,t,1,1,301451
84,2016-07-16 16:16:05.257066+00,2012-07-11 12:56:57.068642+00,A. J. Hill,f,507,507,303077
85,2016-07-16 16:16:05.280843+00,2014-01-02 16:10:22.593235+00,A. J. Hodgkiss,t,1,1,303216
86,2016-07-16 16:16:06.065564+00,2013-08-12 21:43:37.049341+00,A. J. Jarvis,t,1,1,303951
87,2016-07-16 16:16:06.101245+00,2012-02-28 14:29:57.920124+00,A. J. Locker,t,1,1,305204
88,2016-07-16 16:16:06.132922+00,2011-12-09 19:57:02.953813+00,A. J. Lonsdale,t,1,1,305262
89,2016-07-16 16:16:06.148599+00,2013-05-15 09:52:40.3751+00,A. J. Morcom,f,507,507,306311
90,2016-07-16 16:16:06.167899+00,2016-02-09 14:38:38.495339+00,A. J. Newton,f,507,507,306694
91,2016-07-16 16:16:06.183653+00,2013-07-17 14:30:57.449027+00,A. J. Prosser,f,507,1,307767
92,2016-07-16 16:16:06.203793+00,2013-04-12 20:59:22.791157+00,A. J. R. Price,t,1,1,307692
94,2016-07-16 16:16:06.234115+00,2012-11-24 18:35:56.842451+00,A. Julian Jones,t,1,1,304238
95,2016-07-16 16:16:06.247621+00,2012-07-12 15:27:08.143377+00,A. K. Browning,f,507,1,298636
96,2016-07-16 16:16:06.264091+00,2011-05-21 13:11:58.228126+00,A. K. Harvey,t,1,1,302744
97,2016-07-16 16:16:06.278076+00,2011-01-14 18:45:11.176522+00,A. K. Hutchinson,t,1,1,303728
98,2016-07-16 16:16:06.290865+00,2013-05-25 14:24:03.904167+00,A. K. Hutchison,f,507,1,303728
99,2016-07-16 16:16:06.309723+00,2015-01-14 13:48:36.34339+00,A. K. Richardson,t,1,1,308140
16,2016-09-15 10:58:36.604281+00,2013-04-01 10:34:08.140995+00,A. Bolton,f,1074,1,298149
59,2016-09-16 17:14:05.899636+00,2011-05-07 12:23:25.041821+00,A. G. Remmington,f,1074,1,308051
100,2016-07-16 16:16:06.321797+00,2011-02-20 11:46:35.150438+00,A. Kilroy,t,1,1,304513
101,2016-07-16 16:16:06.338854+00,2013-02-08 14:47:04.554672+00,A. L. Grant,t,1,1,302043
102,2016-07-16 16:16:06.360929+00,2011-11-16 12:42:28.511508+00,A. L. Lawton,t,507,507,304885
103,2016-07-16 16:16:06.374749+00,2011-06-18 15:20:57.164899+00,A. Lack,t,1,1,304729
104,2016-07-16 16:16:06.393574+00,2012-02-16 15:23:41.857514+00,A. Learmouth,t,1,1,304925
105,2016-07-16 16:16:06.405378+00,2014-12-01 22:40:01.747044+00,A. M. Hicks,t,1,1,303044
106,2016-07-16 16:16:06.422008+00,2013-07-22 13:20:35.209305+00,A. M. Toy,f,507,1,310541
107,2016-07-16 16:16:06.433584+00,2014-01-21 17:41:56.37224+00,A. MacBayne,t,1,1,305798
108,2016-07-16 16:16:06.446621+00,2011-12-06 22:19:20.451735+00,A. MacLaughlan,t,1,1,305934
109,2016-07-16 16:16:06.455938+00,2012-03-28 17:14:13.07288+00,A. Marsden,t,1,1,305614
