57,2009-03-09 14:58:29.930565+00,2009-03-09 14:58:29.930465+00,Sellers Engineering,38,f,,,,
2918,2011-05-10 20:59:59.6725+00,2011-03-03 13:25:26.927779+00,British Steel Port Talbot,462,t,,,,
5451,2011-11-08 15:13:03.67949+00,2011-11-08 15:13:03.679407+00,Hasle Skoles Musikkorps,5706,f,,,,
60,2009-03-09 15:03:54.786953+00,2009-03-09 15:03:54.78574+00,London Electricity Redbridge Brass,17,f,,,,
5145,2011-09-28 12:50:42.784067+00,2011-09-28 12:50:42.783975+00,Aberystwyth Town,858,f,,,,
62,2009-03-09 15:11:21.265343+00,2009-03-09 15:11:21.265226+00,Rigid Containers Group,10,f,,,,
63,2009-03-09 15:11:41.225729+00,2009-03-09 15:11:41.225613+00,Kennedy Swinton,268,f,,,,
64,2009-03-09 15:16:33.151491+00,2009-03-09 15:16:33.151356+00,Avesta Sheffield (Dodworth),140,f,,,,
66,2009-03-09 15:17:00.561924+00,2009-03-09 15:17:00.561821+00,Besses o' th' Barn (J W Lees),119,f,,,,
1938,2011-06-15 15:44:54.353501+00,2010-10-24 23:11:29.263644+00,Ansell's Coleshill,882,t,,,,
3810,2011-05-11 20:18:04.712396+00,2011-05-11 20:18:04.712322+00,Markham Colliery Band,446,f,,,,
69,2009-03-09 15:35:53.843101+00,2009-03-09 15:35:53.842976+00,Dodworth Silver Prize,140,f,,,,
5265,2011-10-11 20:34:17.809936+00,2011-10-11 20:34:17.809827+00,Lyngby Taarbæk Brass Band,714,f,,,,
2271,2011-01-23 17:47:14.576498+00,2011-01-23 17:47:14.576428+00,Beaumaris & District Silver,121,f,,,,
72,2009-03-09 15:53:48.62893+00,2009-03-09 15:53:48.62883+00,EYMS,9,f,,,,
74,2009-03-09 16:05:38.608882+00,2009-03-09 16:05:38.608768+00,Travelsphere Holidays GUS,10,f,,,,
1507,2010-06-06 12:11:57.27844+00,2010-06-06 12:11:57.213579+00,Horwich Old Public,1695,f,,,,
76,2009-03-10 23:19:37.921906+00,2009-03-10 23:19:37.921809+00,United Norwest Co-op (Milnrow),164,f,,,,
77,2009-03-10 23:20:02.931809+00,2009-03-10 23:20:02.931711+00,Newtongrange Silver,232,f,,,,
79,2009-03-10 23:23:57.582698+00,2009-03-10 23:23:57.582587+00,Pemberton Old Wigan (JJB),162,f,,,,
4138,2011-06-06 17:55:00.663425+00,2011-06-06 17:55:00.663314+00,Bilton Silver Rugby,482,f,,,,
2277,2011-06-15 19:42:54.065518+00,2011-01-23 19:08:30.926046+00,Dodworth M W,140,t,,,,
248,2011-02-21 20:04:06.268987+00,2009-04-25 21:24:01.852202+00,Foden OTS,3,t,,,,
1490,2010-06-02 19:48:51.781208+00,2010-06-02 19:48:51.761944+00,Gloria Dei Gerkesklooster-Stroobos,1739,f,,,,
6565,2012-02-12 14:43:24.706233+00,2012-02-12 14:43:24.70614+00,Rowntree Training,5847,f,,,,
